"","input","filtered","denoisedF","nonchim","total.loss.proportion"
"F-A-W1",27073,16663,16529,16195,0.401802533889853
"F-A-W2",32336,20981,20878,20843,0.355424294903513
"F-A-W3",4921,3162,3143,3121,0.365779313147734
"F-A-W4",10188,5026,4925,4925,0.516588142913231
"F-A-W5",9207,6118,6052,6052,0.342674052351472
"F-A-W6",13247,8472,8399,8399,0.365969653506454
"F-B-W1",23066,13698,13551,13019,0.435576172721755
"F-B-W2",42232,28342,28226,28152,0.333396476605418
"F-B-W3",14075,10350,10321,10321,0.266714031971581
"F-B-W4",15077,8146,8047,8047,0.466273131259534
"F-B-W5",28355,14652,14573,14538,0.487286192911303
"F-B-W6",11583,7792,7738,7738,0.331951998618665
"F-C-W1",28033,17209,17075,16702,0.404202190275746
"F-C-W2",30549,19497,19397,19341,0.366885986448002
"F-C-W3",27533,23705,23681,23681,0.139904841462972
"F-C-W4",38262,31128,31045,30971,0.190554597250536
"F-C-W5",18023,10292,10227,10227,0.432558397603063
"F-C-W6",12542,8557,8500,8500,0.322277148780099
"F-N-1",205,101,87,87,0.575609756097561
"F-N-2",80,39,34,34,0.575
"F-N-3",196,42,25,25,0.872448979591837
"F-P-2",70694,60553,60525,60322,0.146716835940815
"F-R-001",62460,34955,34924,34924,0.440858149215498
"F-R-002",51731,43806,43780,43535,0.158434980959193
"F-R-003",55695,49504,49465,48873,0.122488553730137
"F-R-004",23658,18980,18969,18969,0.198199340603601
"F-R-005",32532,29909,29881,29823,0.08327185540391
"F-R-006",28840,26306,26288,26224,0.0907073509015257
"F-R-007",44537,40421,40379,40379,0.0933605765992321
"F-R-008",39923,19995,19927,19927,0.500864163514766
"F-R-010",32709,21071,21057,21057,0.356232229661561
"F-R-011",41848,39902,39888,39888,0.0468361689925444
"F-R-012",30037,14556,14515,14456,0.518726903485701
"F-R-013",88147,69856,69819,69770,0.208481286941132
"F-R-014",94466,45985,45943,45937,0.51371922173057
"F-R-015",45788,39600,39577,39568,0.135843452432952
"F-R-016",116705,105685,105650,105554,0.0955486054582066
"F-R-017",72355,56002,55956,55700,0.230184506944924
"F-R-018",16839,2408,2376,2376,0.858898984500267
"F-R-019",32881,15616,15578,15568,0.526535081049846
"F-R-020",12116,5492,5452,5452,0.550016507098052
"F-R-021",18869,16220,16185,16157,0.143727807514972
"F-R-022",22147,15111,15076,15076,0.319275748408362
"F-R-023",30980,13381,13361,13361,0.568721755971595
"F-R-024",28009,2860,2838,2838,0.898675425756007
"F-R-025",22366,16175,16154,16154,0.277743002772065
"F-R-026",33245,498,481,481,0.985531658896075
"F-R-027",10017,9010,8994,8994,0.102126385145253
"F-R-028",79370,68222,68189,67958,0.143782285498299
"F-R-043",53254,37127,37107,37107,0.303207270815338
"F-R-057",61446,47416,47376,47239,0.231211144744979
"F-R-058",85060,54917,54893,54893,0.354655537267811
"F-R-059",58061,44219,44189,44189,0.23892113466871
"F-R-060",43423,41529,41512,41512,0.0440089353568385
"F-R-061",17143,11528,11505,11505,0.328880592661728
"F-R-062",36936,30212,30159,30132,0.184210526315789
"F-R-063",36297,15897,15873,15873,0.562691131498471
"F-R-064",24044,20399,20368,20214,0.159291299284645
"F-R-065",62830,58039,58020,58011,0.0766990291262136
"F-R-066",45945,24282,24267,24267,0.471825008161933
"F-R-067",39222,13357,13329,13329,0.660165213400642
"F-R-068",60287,31784,31719,31621,0.475492228838721
"F-R-069",19049,11555,11520,11520,0.39524384482125
"F-R-070",92713,85505,85457,85441,0.0784356023427135
"F-R-071",55672,48925,48898,48859,0.122377496766777
"F-R-072",80037,63261,63192,62917,0.213901070754776
"F-R-073",77737,71388,71362,71362,0.0820072809601605
"F-R-074",39132,37970,37954,37954,0.0301032403148319
"F-R-075",23742,21957,21933,21933,0.076194086429113
"F-R-076",76303,63780,63764,63764,0.164331677653565
"F-R-077",32028,20635,20615,20615,0.356344448607468
"F-R-078",95253,69922,69861,69845,0.266742254837118
"F-R-079",56367,43511,43483,43483,0.2285734561002
"F-R-080",38310,6866,6840,6578,0.828295484207779
"F-R-081",30464,16254,16222,16222,0.46750262605042
"F-R-082",28434,2248,2237,2237,0.921326580853907
"F-R-083",61616,48315,48268,48250,0.216924175538821
"F-R-084",30205,19290,19244,19244,0.362886939248469
"F-R-141",34010,22613,22562,22533,0.337459570714496
"F-R-142",83602,76154,76133,71821,0.140917681395182
"F-R-143",23682,11324,11302,11302,0.522759902035301
"F-R-144",8511,6246,6222,6154,0.276935730231465
"F-R-145",70976,52373,52326,52086,0.266146302975654
"F-R-146",48550,17373,17333,17313,0.643398558187436
"F-R-147",30281,26243,26201,26201,0.134737954492916
"F-R-148",52900,43241,43209,43184,0.183667296786389
"F-R-149",45233,37513,37485,37363,0.173988017597772
"F-R-150",26920,22282,22236,22201,0.175297176820208
"F-R-151",33588,24056,24046,24046,0.284089555793736
"F-R-152",34096,29994,29971,29237,0.142509385265134
"F-R-153",54469,44832,44748,44737,0.178670436395014
"F-R-154",34264,23734,23704,23513,0.313769554050899
"F-R-155",36384,19699,19656,19590,0.461576517150396
"F-R-156",40653,29961,29935,29935,0.263645979386515
"F-R-157",45444,24386,24335,24316,0.464923862336062
"F-R-158",115192,83054,83013,82732,0.281790402111258
"F-R-159",53654,48826,48784,48534,0.0954262496738361
"F-R-160",100988,82856,82818,82227,0.185774547470987
"F-R-161",34661,14025,14003,14003,0.596001269438274
"F-R-162",42902,33583,33462,33384,0.22185445899958
"F-R-163",28461,17731,17703,17703,0.377990934963634
"F-R-164",51973,46955,46867,46657,0.10228387816751
"F-R-165",50747,34905,34794,34622,0.317752773562969
"F-R-166",27027,20785,20761,20761,0.231842231842232
"F-R-167",81261,2659,2599,2599,0.968016637747505
"F-R-168",16979,13112,13095,13095,0.228753165675246
"F-R-197",66725,59778,59720,59337,0.110723117272387
"F-R-198",9544,4753,4731,4731,0.50429589270746
"F-R-199",20888,19394,19371,19371,0.0726254308693987
"F-R-200",17834,2865,2850,2850,0.840192889985421
"F-R-201",32621,14822,14762,14762,0.547469421538273
"F-R-202",50264,22045,22016,22016,0.561992678656693
"F-R-203",111422,99048,98913,98803,0.113254114986268
"F-R-204",55539,32887,32836,32561,0.413727290732638
"F-R-205",125694,67623,67593,67586,0.462297325250211
"F-R-206",57227,39008,38981,38981,0.318835514704597
"F-R-207",24055,20124,20087,19883,0.173435876117231
"F-R-208",44550,25754,25719,25719,0.422693602693603
"F-R-209",42566,31485,31409,31376,0.262885871352723
"F-R-210",58141,50515,50475,50452,0.132247467363822
"F-R-211",75776,65921,65852,65844,0.131070523648649
"F-R-212",70148,44500,44463,44445,0.366411016707533
"F-R-213",19303,5389,5381,5381,0.721235041185308
"F-R-214",72173,54432,54402,54400,0.246255524919291
"F-R-215",18228,13421,13400,13400,0.264867237217468
"F-R-216",47703,38524,38478,38478,0.193384063895352
"F-R-217",29609,26573,26546,26546,0.103448275862069
"F-R-218",6828,406,379,379,0.944493263034564
"F-R-219",35223,6364,6345,6345,0.819862021974278
"F-R-220",25556,21242,21215,21215,0.169862263264987
"F-R-221",26824,6918,6891,6778,0.747315836564271
"F-R-222",32414,27832,27806,27761,0.143549083729253
"F-R-223",72773,63867,63847,63847,0.122655380429555
"F-R-224",22321,19707,19675,19612,0.12136553021818
"F-R-281",41575,26715,26688,26688,0.358075766686711
"F-R-282",5006,3906,3890,3890,0.222932481022773
"F-R-283",42055,28519,28479,28455,0.323386042087742
"F-R-284",24227,6560,6541,6537,0.730177075164073
"F-R-285",14264,10699,10684,10684,0.250981491867639
"F-R-286",22192,21046,21020,21015,0.0530371304974766
"F-R-287",18561,7284,7282,7282,0.607672000431011
"F-R-288",26368,11710,11692,11690,0.556659587378641
"F-R-289",96780,94074,94053,93826,0.0305228352965489
"F-R-290",34371,27895,27865,27865,0.18928748072503
"F-R-291",43067,22671,22618,22618,0.474818306359858
"F-R-292",56612,48690,48670,48670,0.140288278103582
"F-R-293",58913,53310,53271,52827,0.103304873287729
"F-R-294",28781,12859,12826,12826,0.554358778360724
"F-R-295",34264,21642,21602,21602,0.369542376838664
"F-R-296",24904,22910,22875,22875,0.081472855766142
"F-R-297",19623,10011,9972,9972,0.491820822504204
"F-R-298",14406,12414,12380,12380,0.140635846175205
"F-R-299",29918,27010,26997,26997,0.0976335316531854
"F-R-300",19376,8317,8300,8300,0.571635012386457
"F-R-301",21899,18417,18396,18371,0.161103246723595
"F-R-302",12026,9590,9566,9566,0.204556793613837
"F-R-303",18490,15934,15900,15895,0.140346133044889
"F-R-304",15686,8436,8419,8419,0.463279357388754
"F-R-305",66758,59306,59279,59111,0.114548069145271
"F-R-306",27629,22293,22283,22283,0.193492344999819
"F-R-307",9334,3427,3408,3408,0.634883222626955
"F-R-308",62263,16134,16112,15752,0.747008656826687
"F-R-337",43866,39941,39925,39754,0.0937400264441709
"F-R-338",62196,47094,47062,47022,0.2439706733552
"F-R-339",40311,31504,31464,31464,0.219468631390935
"F-R-340",32818,28861,28837,28833,0.121427265525017
"F-R-341",28612,7494,7479,7479,0.7386061792255
"F-R-342",13963,11355,11334,11320,0.18928597006374
"F-R-343",39860,28167,28137,28137,0.294104365278475
"F-R-344",54203,48334,48261,48197,0.11080567496264
"F-R-345",12802,1777,1764,1764,0.862209029839088
"F-R-346",26630,10445,10410,10410,0.609087495306046
"F-R-347",25785,16675,16647,16647,0.354392088423502
"F-R-348",40552,31108,31072,31072,0.233773919905307
"F-R-349",32600,22192,22148,22148,0.320613496932515
"F-R-350",10290,2487,2462,2462,0.760738581146744
"F-R-351",22480,7146,7131,7131,0.682784697508897
"F-R-352",7701,6421,6375,6369,0.172964550058434
"F-R-353",12682,10159,10146,10146,0.199968459233559
"F-R-354",39883,38668,38654,38654,0.0308151342677331
"F-R-355",20062,6042,6033,6033,0.699282225102183
"F-R-356",38101,6286,6255,6255,0.835831080549067
"F-R-357",22107,6500,6483,6483,0.706744470077351
"F-R-358",22878,9978,9957,9957,0.564778389719381
"F-R-359",50623,46634,46612,46612,0.0792327598127333
"F-R-360",24218,15352,15332,15332,0.366917169047816
"F-R-361",37345,10472,10446,10446,0.720283839871469
"F-R-362",23578,5381,5337,5298,0.775299007549411
"F-R-363",40891,11623,11585,11585,0.716685823286298
"F-R-364",80620,60713,60688,60678,0.247357975688415
